Date,Bajaj Auto Close,Hindustan Lever,Infosys,Maruti,Asian Paint
03-Jul-17,2790.7,1095.55,951.4,7359.3,1118.2
04-Jul-17,2771.25,1090.3,960.5,7371.55,1108.75
05-Jul-17,2771.8,1097.3,951.05,7371.15,1126.3
06-Jul-17,2729.6,1092,947.5,7469.2,1130.7
07-Jul-17,2707.95,1097.75,936,7429.25,1117.15
10-Jul-17,2729.5,1096.75,959.05,7434.65,1130.7
11-Jul-17,2793.4,1107.15,975.8,7451.1,1130.2
12-Jul-17,2786,1129.7,973.8,7475.25,1132.7
13-Jul-17,2790.5,1133.2,976.3,7566.25,1124.15
14-Jul-17,2811.3,1139.7,972.05,7556.8,1118.1
17-Jul-17,2811.95,1152.8,985.35,7525.55,1125.5
18-Jul-17,2824.05,1158.2,985.4,7555.45,1146
19-Jul-17,2824.75,1152.9,979.9,7560.9,1156.1
20-Jul-17,2818.65,1152.75,969,7490.7,1156.9
21-Jul-17,2815,1158.55,979.9,7527.6,1155.85
24-Jul-17,2826.85,1157.8,991.2,7551.9,1156.05
25-Jul-17,2844.95,1149.45,994.15,7514.85,1151.95
26-Jul-17,2838.05,1164.3,993.75,7577.95,1133.55
27-Jul-17,2846.4,1172.55,972.3,7592.3,1148.55
28-Jul-17,2822.75,1154.1,997.85,7621.95,1152.85
31-Jul-17,2807.6,1153.35,1011.3,7707.95,1159.45
01-Aug-17,2823,1173,1005,7859.1,1148.1
02-Aug-17,2802.05,1168.35,992.45,7815.7,1143.75
03-Aug-17,2834.75,1169.6,983.6,7739,1146.4
04-Aug-17,2873.7,1191.9,985.35,7778.7,1156.8
07-Aug-17,2890,1184.25,968.15,7839.45,1149.6
08-Aug-17,2913.8,1186.25,964.6,7756.45,1145.65
09-Aug-17,2833.05,1183.7,969.45,7669.2,1155.25
10-Aug-17,2794.8,1171.4,982.5,7580.45,1152.25
11-Aug-17,2788.5,1152.85,987.75,7452.85,1144.45
14-Aug-17,2833.4,1152.35,979.45,7617.25,1154
16-Aug-17,2850.55,1186.95,976.8,7701.6,1142.4
17-Aug-17,2820.7,1174.65,1021.15,7606.8,1133.6
18-Aug-17,2815.7,1199.7,923.1,7620.05,1139.9
21-Aug-17,2770.6,1193.15,873.5,7513.85,1135.45
22-Aug-17,2740.5,1200.75,877.15,7498.45,1129.85
23-Aug-17,2760.5,1187.55,894.5,7575.45,1140.25
24-Aug-17,2734.45,1178.95,912.5,7601.95,1136.35
28-Aug-17,2739.55,1199.9,941.15,7589.1,1155.25
29-Aug-17,2732.25,1191.15,927.55,7525.85,1151.9
30-Aug-17,2746.95,1203.85,926.65,7569.5,1153.3
31-Aug-17,2808.45,1217.35,915.3,7702.5,1168.15
01-Sep-17,2918.65,1215.7,920.1,7812.7,1214.55
04-Sep-17,2913.4,1196.95,901.3,7803.75,1196.5
05-Sep-17,2949.85,1202.7,901.1,7816.3,1204.9
06-Sep-17,2925.8,1203.6,895.7,7851.15,1205.4
07-Sep-17,2965.95,1209.1,895.55,7912.2,1199.6
08-Sep-17,2913.85,1206.75,884.4,7972.8,1202.65
11-Sep-17,2930.3,1219.05,878.55,8145,1236.85
12-Sep-17,2933.4,1246.65,883.85,8161.1,1255.2
13-Sep-17,2931.25,1250.75,883.55,8121.05,1252.25
14-Sep-17,2928.65,1246.8,892.3,8071.25,1245.25
15-Sep-17,3022.05,1245.5,908.6,8088.2,1244.15
18-Sep-17,3129.8,1279.5,908.45,8154.45,1255.85
19-Sep-17,3115.6,1279.9,911.3,8148.3,1253.05
20-Sep-17,3088.1,1258.7,912,8122.05,1238.75
21-Sep-17,3078.1,1254.8,909.55,8132.65,1229.8
22-Sep-17,3039.4,1239.55,898.05,8074.55,1215.15
25-Sep-17,3038.6,1246.35,896.65,7952.8,1196.25
26-Sep-17,3036.4,1217.55,906.45,7885.55,1172.2
27-Sep-17,3027.8,1207,898.65,7733.9,1161
28-Sep-17,3034.1,1203.7,895.7,7897.15,1129.25
29-Sep-17,3108.15,1175.15,898.75,7973.15,1117.05
03-Oct-17,3163.8,1186.55,903.95,7888.5,1147.45
04-Oct-17,3169.75,1197.4,899.8,7842.8,1154.6
05-Oct-17,3130.8,1188.05,903.1,7838.4,1152.3
06-Oct-17,3146.3,1205.5,919.45,7909.85,1158.9
09-Oct-17,3128.15,1220.15,923.65,7892.75,1159.35
10-Oct-17,3134.9,1208.15,935.6,7897.75,1162.45
11-Oct-17,3142.25,1217.4,930.6,7820.05,1160.45
12-Oct-17,3154.1,1238.2,927.15,7904.4,1160.1
13-Oct-17,3164.7,1246.6,931.9,7872.2,1171.9
16-Oct-17,3221.8,1279.35,939.3,7847.5,1170.25
17-Oct-17,3263.7,1279.7,931.45,7849.55,1194.4
18-Oct-17,3231.85,1264.2,924.45,7789.6,1180
19-Oct-17,3215.2,1259.35,927.1,7736.35,1180.2
23-Oct-17,3215.85,1248.65,939.65,7819.4,1172.4
24-Oct-17,3214.85,1271.25,926.75,7875.35,1220.5
25-Oct-17,3233.5,1273.55,935.4,7871.8,1202.6
26-Oct-17,3278.9,1271.35,947.5,8076.5,1191
27-Oct-17,3289.6,1257.4,947.45,8114.8,1187.1
30-Oct-17,3274.75,1235.9,944.65,8193.55,1183.2
31-Oct-17,3260,1236.85,921.65,8217.1,1180.7
01-Nov-17,3240.5,1259.65,926.25,8235.05,1174.7
02-Nov-17,3238.5,1239.8,922.9,8215.3,1178.5
03-Nov-17,3223.1,1238.1,926.65,8216.4,1173.4
06-Nov-17,3212.35,1240.15,928.6,8301.55,1162.4
07-Nov-17,3163.25,1234.6,955.7,8235.25,1142.3
08-Nov-17,3190.1,1236.9,951.95,8229.75,1170.95
09-Nov-17,3199.95,1253.3,954.6,8201.95,1195.25
10-Nov-17,3248.25,1290.75,960.6,8164.95,1176.45
13-Nov-17,3211.6,1278.65,951.8,8107.85,1175.1
14-Nov-17,3266.4,1283.45,949.45,8128,1154.25
15-Nov-17,3212.35,1264.8,951.95,8122.9,1176.85
16-Nov-17,3209.6,1276.6,988.6,8165.5,1180.05
17-Nov-17,3212.05,1278.6,970.95,8340.7,1171.1
20-Nov-17,3242.85,1274,961.35,8423.7,1168.1
21-Nov-17,3292.95,1277.2,966.4,8423.5,1161.35
22-Nov-17,3312.2,1270.2,966.3,8514.3,1174.35
23-Nov-17,3261.85,1269.15,991.4,8481.85,1161.25
24-Nov-17,3293.1,1266.7,1009.95,8487.7,1160.05
27-Nov-17,3272.35,1260.5,997.5,8506.9,1158.2
28-Nov-17,3292.6,1267.85,984.5,8626.2,1169.95
29-Nov-17,3315.5,1277.35,983.3,8668.95,1156.2
30-Nov-17,3311.7,1273.75,974.95,8602.3,1147.75
01-Dec-17,3212.65,1252.35,958.5,8607.55,1136.1
04-Dec-17,3199.95,1268.1,985.3,8512.9,1122.8
05-Dec-17,3160.85,1260.65,984.4,8496.25,1114.25
06-Dec-17,3108.6,1273.85,990.4,8600.65,1104.15
07-Dec-17,3195.85,1292.15,1000.1,8881.1,1143.4
08-Dec-17,3215.3,1326.7,1001.55,9040.85,1134.35
11-Dec-17,3211.9,1320.35,1003.5,9141.35,1128.1
12-Dec-17,3168.65,1314.95,1011.1,9142.75,1118.5
13-Dec-17,3149.35,1316.55,1003.45,9110.6,1116.55
14-Dec-17,3151.4,1323.65,1012.45,9117.95,1125.05
15-Dec-17,3205.3,1325.15,1023.45,9164,1119.95
18-Dec-17,3227.4,1331.45,1015.35,9308.05,1136.75
19-Dec-17,3319.9,1347.7,1004.8,9804.5,1136.7
20-Dec-17,3301.15,1361.35,1013.3,9737.65,1134.35
21-Dec-17,3285.55,1348.35,1021.55,9629.15,1137.1
22-Dec-17,3326.45,1351.65,1038.4,9700.25,1136.5
26-Dec-17,3362.9,1347.95,1034.35,9670.85,1149.65
27-Dec-17,3335.45,1354.45,1034.05,9647.15,1148.45
28-Dec-17,3301.45,1357.35,1034,9630.5,1144.6
29-Dec-17,3323.2,1368.1,1039.3,9731.35,1157.9
01-Jan-18,3293.4,1347.25,1034.55,9665.45,1146.5
02-Jan-18,3294.15,1339.45,1029.5,9545.15,1142.85
03-Jan-18,3247.45,1350.1,1019.1,9416.75,1141.1
04-Jan-18,3262.75,1352.05,1015.3,9382.25,1172.05
05-Jan-18,3277.55,1356.5,1012.1,9434.05,1183.75
08-Jan-18,3275.35,1367.35,1035.65,9449.2,1183.1
09-Jan-18,3240.95,1363.35,1041.3,9386.75,1191.9
10-Jan-18,3205.35,1366.55,1051.6,9384.15,1177.4
11-Jan-18,3202,1379,1075.6,9341.5,1188.85
12-Jan-18,3175.1,1372.7,1078.4,9460.3,1189.65
15-Jan-18,3163.3,1367.1,1080.4,9356.45,1201.7
16-Jan-18,3160,1381.3,1122.9,9320.5,1190.35
17-Jan-18,3184.9,1371.85,1152.25,9312,1194.15
18-Jan-18,3195.4,1357.6,1152.75,9359,1189.75
19-Jan-18,3208.05,1362.55,1143.25,9321.35,1193.4
22-Jan-18,3272.1,1357.15,1150.3,9306.65,1176.7
23-Jan-18,3294.3,1366.85,1175.2,9397,1167.7
24-Jan-18,3335.6,1366,1185.15,9427.75,1150.95
25-Jan-18,3303.2,1371.2,1170.8,9277.2,1149.75
29-Jan-18,3362.1,1397.25,1181.5,9634.5,1154.5
30-Jan-18,3351.4,1399.45,1169.7,9569.8,1128.9
31-Jan-18,3338.8,1369.65,1150.65,9514.15,1131.05
01-Feb-18,3409.5,1371.35,1144.5,9402.95,1152.45
02-Feb-18,3242.6,1372.7,1141.7,9000.3,1138.3
05-Feb-18,3177.8,1358.35,1138.3,9088.7,1134.35
06-Feb-18,3138.2,1328.25,1108.45,8984.45,1110.85
07-Feb-18,3137.3,1313.5,1108.75,8919.9,1121
08-Feb-18,3152.4,1332.35,1134.55,9027.05,1124
09-Feb-18,3103.5,1335.4,1111.8,8946.45,1131.55
12-Feb-18,3143.35,1346.3,1103.8,9106.1,1145.45
14-Feb-18,3110.85,1350.55,1098.05,9010,1140.65
15-Feb-18,3140.6,1359.55,1114.15,9020.8,1136.7
16-Feb-18,3102.95,1352.45,1124.85,8840,1143.7
19-Feb-18,3039.85,1335.65,1130,8740.15,1122.45
20-Feb-18,3049.65,1333.95,1134.7,8724.8,1126.7
21-Feb-18,3008.25,1330.4,1148.7,8779.8,1125.55
22-Feb-18,2971,1325.15,1160.5,8650.4,1116.35
23-Feb-18,2988,1323,1155.65,8705.3,1101.9
26-Feb-18,3007.2,1333.65,1141.05,9001.8,1106.25
27-Feb-18,3033.85,1343.45,1148.3,8891.95,1110.2
28-Feb-18,3018.8,1316.35,1174.25,8873.15,1118.85
01-Mar-18,3025,1325.65,1160.25,8876.1,1119.6
05-Mar-18,2942.1,1300.5,1153.1,8799.45,1104.3
06-Mar-18,2899.9,1293.2,1146.85,8618.65,1102.75
07-Mar-18,2910.45,1292.45,1142.8,8679,1107.95
08-Mar-18,2924.65,1293.4,1156.7,8733.1,1125.6
09-Mar-18,2938.05,1300.6,1163.4,8664.45,1127.75
12-Mar-18,2960.05,1324.55,1185.85,8811.25,1130.95
13-Mar-18,2974.15,1317.75,1180.55,8753.5,1137.8
14-Mar-18,2948.85,1316.85,1180.2,8839.85,1136.6
15-Mar-18,2949.1,1297.4,1182.15,8832.9,1160.95
16-Mar-18,2912.2,1299.1,1172.5,8690.35,1125.45
19-Mar-18,2853.8,1309.45,1147.15,8777.65,1102.5
20-Mar-18,2873.55,1312.9,1162.1,8798.4,1106.55
21-Mar-18,2853.6,1314.3,1168.6,8877.15,1103.85
22-Mar-18,2842.05,1312.25,1158.8,8699,1107.35
23-Mar-18,2789.75,1299.75,1167.45,8611.5,1107.65
26-Mar-18,2839.15,1320.5,1154.3,8772.55,1118.8
27-Mar-18,2803.2,1332.5,1152.8,8853.65,1131.75
28-Mar-18,2748.9,1335.9,1134.4,8863.15,1120.7
02-Apr-18,2808.6,1348.85,1137.5,9009.05,1149.15
03-Apr-18,2791.75,1348.45,1140.05,9023.8,1152.9
04-Apr-18,2766.35,1356.35,1124.55,9015.2,1137.6
05-Apr-18,2810.55,1381.1,1145,9127.95,1145.2
06-Apr-18,2783.05,1375.65,1129.3,9207.85,1143.8
09-Apr-18,2770.45,1391.85,1110.95,9291.2,1158.05
10-Apr-18,2767,1390.9,1114.15,9259.7,1155.3
11-Apr-18,2755.4,1408.9,1123.9,9297.75,1155.5
12-Apr-18,2764.15,1413.55,1162.25,9198.3,1164.15
13-Apr-18,2789.4,1409.7,1169,9138.45,1162.8
16-Apr-18,2839.8,1419.8,1132.8,9232.3,1177.9
17-Apr-18,2863,1445.75,1125,9158.25,1175.15
18-Apr-18,2862.65,1451.35,1125.45,9122.65,1171.25
19-Apr-18,2855.1,1454.25,1132.7,9076.55,1166.8
20-Apr-18,2853.6,1465.5,1178.25,9037.2,1159.1
23-Apr-18,2854.05,1451.25,1183.35,9061.3,1178.6
24-Apr-18,2889.75,1458.7,1153.9,9068.4,1173.1
25-Apr-18,2899.9,1459.6,1160.9,8938.15,1165.25
26-Apr-18,2886.1,1491.25,1175.65,8947.8,1159.85
27-Apr-18,2936.8,1474.55,1185.15,8777.95,1184.45
30-Apr-18,2948,1509.05,1199.4,8822.8,1200.15
02-May-18,2965.25,1471.5,1197.8,8752.9,1221.75
03-May-18,2971.9,1454.85,1181.85,8756.15,1206.5
04-May-18,2890.5,1465,1172.9,8679.05,1194.25
07-May-18,2917.05,1491,1183.35,8742.4,1212.9
08-May-18,2891.75,1495.2,1165.35,8775.15,1205.6
09-May-18,2874.25,1496.1,1171.25,8713.6,1224.1
10-May-18,2827.8,1494.45,1167.55,8707.6,1214.7
11-May-18,2816.45,1506.3,1181,8738.3,1289.6
14-May-18,2834.7,1504.95,1189.6,8715.15,1298.45
15-May-18,2827.8,1516,1192.55,8725.9,1310.05
16-May-18,2808.25,1574.2,1190.05,8698.05,1320.8
17-May-18,2819.15,1569.25,1184.95,8709.8,1309.7
18-May-18,2777.5,1604.1,1183.75,8512.55,1306.95
21-May-18,2719.9,1578.9,1182.6,8428.15,1300
22-May-18,2811.25,1575.65,1193.55,8559.4,1286.1
23-May-18,2775.8,1567.6,1185.25,8500.9,1278.2
24-May-18,2736.7,1561.65,1221.85,8409.8,1290.2
